model_name,train_rmse,val_rmse,val_mae,val_r2
gradient_boosting,17502.20981672009,22810.824395553824,15982.026085850848,0.92210512673719
random_forest,10103.966920685642,25663.850594348514,18113.53964563831,0.9014014452216865
ridge,31216.034133317415,33381.22369555398,21450.744542745022,0.8331864138802999
lasso,31203.296990466297,33398.4909031207,21455.440520947097,0.8330137928990768
linear_regression,31203.29698122769,33398.512019434755,21455.502512219566,0.8330135817437694
